Column1.model,Column1.key,Column1.analysis.sentiment.level,Column1.analysis.sarcasm.level,Column1.analysis.comfort.level,Column1.analysis.value.level,Column1.analysis.facilities.level,Column1.analysis.location.level,Column1.analysis.staff.level,Column1.analysis.cleanliness.level,Column1.analysis.food.level
deepseek-r1_1.5b,295,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,305,中立,未提及,一般,一般,一般,一般,一般,一般,一般
deepseek-r1_1.5b,312,非常正面,未提及,非常好,非常好,非常好,非常好,未提及,非常好,非常好
deepseek-r1_1.5b,336,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,345,非常正面,有反諷,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,357,非常負面,有反諷,非常差,非常差,非常差,非常差,非常差,非常差,非常差
deepseek-r1_1.5b,363,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,376,中立,有反諷,差,差,差,差,差,差,差
deepseek-r1_1.5b,390,非常正面,有反諷,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,395,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_8b,0,正面,未提及,好,好,好,好,好,未提及,未提及
deepseek-r1_8b,1,中立,未提及,好,好,一般,非常好,未提及,好,未提及
deepseek-r1_8b,2,正面,未提及,好,好,非常好,非常好,未提及,未提及,未提及
deepseek-r1_8b,3,非常負面,未提及,差,差,一般,未提及,非常差,未提及,未提及
deepseek-r1_8b,4,非常正面,未提及,非常好,好,非常好,非常好,非常好,非常好,未提及
deepseek-r1_8b,5,負面,未提及,差,差,差,差,未提及,未提及,未提及
deepseek-r1_8b,6,中立,未提及,好,好,一般,差,好,一般,差
deepseek-r1_8b,7,負面,未提及,差,差,差,未提及,未提及,未提及,未提及
deepseek-r1_8b,8,正面,未提及,好,一般,一般,好,非常好,好,未提及
deepseek-r1_8b,9,中立,未提及,差,一般,好,一般,一般,一般,好
deepseek-r1_8b,10,中立,未提及,一般,好,一般,非常好,未提及,未提及,未提及
deepseek-r1_8b,11,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,好,非常好
deepseek-r1_8b,12,非常負面,未提及,差,非常差,差,未提及,差,非常差,未提及
deepseek-r1_8b,14,中立,未提及,差,差,一般,未提及,非常差,非常差,一般
deepseek-r1_8b,15,非常負面,未提及,差,好,差,未提及,未提及,差,未提及
deepseek-r1_8b,16,非常負面,未提及,差,差,差,未提及,差,未提及,未提及
deepseek-r1_8b,17,非常正面,未提及,好,好,好,未提及,好,非常好,好
deepseek-r1_8b,18,中立,未提及,好,好,一般,一般,好,未提及,一般
deepseek-r1_8b,19,中立,未提及,差,差,差,好,好,差,差
deepseek-r1_8b,20,非常負面,未提及,非常差,未提及,差,未提及,未提及,非常差,未提及
deepseek-r1_8b,21,正面,未提及,好,好,好,非常好,非常好,未提及,未提及
deepseek-r1_8b,22,非常負面,未提及,差,差,非常差,一般,差,一般,未提及
deepseek-r1_8b,24,非常正面,未提及,非常好,未提及,一般,未提及,未提及,未提及,未提及
deepseek-r1_8b,25,正面,未提及,好,好,一般,好,好,好,未提及
deepseek-r1_8b,26,中立,未提及,差,未提及,差,好,好,非常差,未提及
deepseek-r1_8b,27,非常負面,未提及,差,非常差,差,未提及,差,非常差,未提及
deepseek-r1_8b,28,中立,未提及,一般,好,一般,好,好,一般,未提及
deepseek-r1_8b,29,正面,未提及,一般,好,好,非常好,一般,好,未提及
deepseek-r1_8b,30,非常負面,未提及,差,非常差,一般,未提及,非常差,一般,未提及
deepseek-r1_8b,31,非常負面,未提及,非常差,非常差,非常差,未提及,未提及,非常差,未提及
deepseek-r1_8b,32,正面,未提及,好,好,好,好,好,好,好
deepseek-r1_8b,33,中立,未提及,一般,未提及,一般,一般,未提及,一般,未提及
deepseek-r1_8b,35,非常負面,未提及,差,差,差,未提及,非常差,差,非常差
deepseek-r1_8b,37,中立,未提及,好,好,一般,差,好,好,未提及
deepseek-r1_8b,38,正面,未提及,好,好,好,好,好,好,未提及
deepseek-r1_8b,39,非常負面,未提及,差,差,差,未提及,差,一般,未提及
deepseek-r1_8b,40,非常負面,未提及,非常差,差,非常差,一般,未提及,非常差,未提及
deepseek-r1_8b,41,中立,未提及,一般,好,一般,好,未提及,好,未提及
deepseek-r1_8b,42,非常正面,未提及,好,好,非常好,未提及,未提及,未提及,未提及
deepseek-r1_8b,43,正面,未提及,非常好,好,好,一般,非常好,未提及,未提及
deepseek-r1_8b,44,正面,未提及,好,好,好,好,好,未提及,未提及
deepseek-r1_8b,45,非常負面,有反諷,差,差,差,差,非常差,未提及,未提及
deepseek-r1_8b,46,非常正面,未提及,非常好,好,好,好,未提及,非常好,未提及
deepseek-r1_8b,47,正面,未提及,非常好,好,一般,未提及,未提及,未提及,好
deepseek-r1_8b,48,正面,未提及,好,好,一般,未提及,未提及,未提及,未提及
deepseek-r1_8b,49,中立,未提及,一般,一般,差,好,好,一般,未提及
deepseek-r1_8b,51,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,好
deepseek-r1_8b,52,非常負面,有反諷,差,非常差,非常差,未提及,差,非常差,差
deepseek-r1_8b,53,正面,未提及,差,好,差,好,非常好,差,未提及
deepseek-r1_8b,54,非常負面,未提及,差,差,差,一般,差,未提及,未提及
deepseek-r1_8b,55,正面,未提及,好,一般,好,未提及,未提及,好,未提及
deepseek-r1_8b,56,非常正面,未提及,好,好,一般,好,好,好,非常好
deepseek-r1_8b,57,非常負面,未提及,差,差,差,一般,差,未提及,未提及
deepseek-r1_8b,58,中立,未提及,差,一般,差,好,未提及,非常差,未提及
deepseek-r1_8b,59,中立,未提及,一般,好,一般,好,未提及,一般,未提及
deepseek-r1_8b,60,非常正面,未提及,好,未提及,一般,未提及,差,未提及,好
deepseek-r1_8b,61,非常負面,有反諷,一般,一般,好,好,差,未提及,未提及
deepseek-r1_8b,62,正面,未提及,好,好,一般,好,好,非常好,未提及
deepseek-r1_8b,63,正面,未提及,好,好,一般,好,非常好,非常好,未提及
deepseek-r1_8b,64,中立,未提及,差,未提及,差,差,未提及,差,未提及
deepseek-r1_8b,65,中立,未提及,一般,好,一般,未提及,一般,未提及,未提及
deepseek-r1_8b,66,非常負面,未提及,差,非常差,差,未提及,差,差,未提及
deepseek-r1_8b,67,正面,未提及,好,好,好,好,好,一般,一般
deepseek-r1_8b,68,中立,未提及,一般,未提及,一般,未提及,差,非常好,未提及
deepseek-r1_8b,69,中立,未提及,好,好,好,好,好,未提及,未提及
deepseek-r1_8b,71,中立,未提及,好,好,好,一般,未提及,好,未提及
deepseek-r1_8b,72,非常正面,未提及,非常好,未提及,非常好,未提及,非常好,非常好,未提及
deepseek-r1_8b,73,正面,未提及,好,好,一般,未提及,非常好,未提及,未提及
deepseek-r1_8b,74,中立,未提及,好,好,一般,好,好,一般,未提及
deepseek-r1_8b,75,非常正面,未提及,非常好,好,好,好,好,好,未提及
deepseek-r1_8b,76,正面,未提及,好,一般,好,好,好,一般,一般
deepseek-r1_8b,77,中立,未提及,好,一般,非常好,未提及,好,未提及,差
deepseek-r1_8b,78,正面,未提及,好,好,好,未提及,好,未提及,未提及
deepseek-r1_8b,79,正面,未提及,一般,好,一般,好,未提及,非常好,未提及
deepseek-r1_8b,80,非常負面,未提及,差,差,未提及,未提及,非常差,未提及,未提及
deepseek-r1_8b,81,正面,未提及,好,好,好,未提及,好,非常好,未提及
deepseek-r1_8b,82,正面,未提及,好,好,好,好,好,好,好
deepseek-r1_8b,83,非常正面,未提及,非常好,非常好,好,好,非常好,非常好,未提及
deepseek-r1_8b,84,正面,未提及,好,好,非常好,差,未提及,好,未提及
deepseek-r1_8b,85,中立,未提及,一般,一般,一般,未提及,未提及,未提及,未提及
deepseek-r1_8b,86,非常正面,未提及,好,好,好,好,好,一般,好
deepseek-r1_8b,87,中立,未提及,好,一般,好,一般,好,好,未提及
deepseek-r1_8b,88,非常負面,未提及,差,非常差,非常差,未提及,差,非常差,未提及
deepseek-r1_8b,90,非常負面,未提及,差,差,差,差,未提及,差,未提及
deepseek-r1_8b,91,非常正面,未提及,好,好,好,好,好,好,好
deepseek-r1_8b,92,非常正面,未提及,好,好,好,好,好,未提及,好
deepseek-r1_8b,93,非常正面,未提及,差,一般,差,差,未提及,差,未提及
deepseek-r1_8b,94,正面,未提及,好,好,好,非常好,好,一般,未提及
deepseek-r1_8b,95,正面,未提及,好,好,一般,非常好,好,一般,好
deepseek-r1_8b,96,中立,未提及,差,未提及,好,一般,差,一般,未提及
deepseek-r1_8b,97,正面,未提及,一般,好,一般,好,好,好,未提及
deepseek-r1_8b,98,非常負面,未提及,差,差,好,非常好,一般,一般,未提及
deepseek-r1_8b,99,正面,未提及,好,好,好,好,好,好,未提及
deepseek-r1_8b,100,正面,未提及,好,好,非常好,非常好,好,未提及,未提及
deepseek-r1_8b,101,非常正面,未提及,好,好,一般,非常好,非常好,未提及,未提及
deepseek-r1_8b,102,中立,未提及,一般,好,一般,未提及,未提及,未提及,未提及
deepseek-r1_8b,103,中立,未提及,好,好,一般,非常好,未提及,好,未提及
deepseek-r1_8b,104,非常負面,有反諷,差,差,一般,未提及,非常差,未提及,未提及
deepseek-r1_8b,105,正面,未提及,好,好,非常好,未提及,未提及,非常好,未提及
deepseek-r1_8b,106,非常負面,未提及,差,差,非常差,未提及,未提及,差,未提及
deepseek-r1_8b,107,中立,未提及,差,未提及,一般,好,好,差,未提及
deepseek-r1_8b,108,中立,未提及,差,好,差,好,一般,差,好
deepseek-r1_8b,109,中立,未提及,好,好,一般,未提及,好,一般,未提及
deepseek-r1_8b,110,中立,未提及,一般,好,一般,未提及,未提及,一般,未提及
deepseek-r1_8b,111,非常正面,未提及,非常好,好,一般,未提及,非常好,未提及,好
deepseek-r1_8b,112,正面,未提及,好,好,好,好,好,好,好
deepseek-r1_8b,113,中立,未提及,一般,好,一般,好,好,一般,未提及
deepseek-r1_8b,114,非常負面,未提及,差,未提及,差,差,非常差,未提及,未提及
deepseek-r1_8b,115,中立,未提及,一般,一般,一般,好,未提及,未提及,未提及
deepseek-r1_8b,116,正面,未提及,好,好,好,好,未提及,未提及,未提及
deepseek-r1_8b,117,正面,未提及,好,好,好,好,好,好,未提及
deepseek-r1_8b,118,非常正面,未提及,好,非常好,非常好,未提及,非常好,未提及,非常好
deepseek-r1_8b,119,正面,未提及,一般,好,差,一般,好,一般,差
deepseek-r1_8b,120,中立,未提及,一般,差,未提及,未提及,未提及,未提及,差
deepseek-r1_8b,121,非常正面,未提及,非常好,好,非常好,好,非常好,未提及,未提及
deepseek-r1_8b,122,中立,未提及,差,未提及,好,未提及,未提及,好,未提及
deepseek-r1_8b,123,非常負面,未提及,差,差,差,非常好,一般,差,未提及
deepseek-r1_8b,124,非常正面,未提及,好,好,好,差,好,一般,一般
deepseek-r1_8b,125,正面,未提及,好,好,非常好,一般,好,非常好,未提及
deepseek-r1_8b,126,正面,未提及,一般,好,好,好,未提及,一般,未提及
deepseek-r1_8b,127,非常負面,未提及,非常差,差,非常差,好,差,非常差,差
deepseek-r1_8b,128,中立,未提及,差,好,差,好,好,一般,未提及
deepseek-r1_8b,129,非常負面,有反諷,差,差,一般,好,差,一般,差
deepseek-r1_8b,130,非常負面,有反諷,差,差,差,未提及,非常差,未提及,未提及
deepseek-r1_8b,131,非常正面,未提及,好,好,好,未提及,好,好,好
deepseek-r1_8b,132,中立,未提及,差,一般,差,差,一般,差,未提及
deepseek-r1_8b,133,非常正面,未提及,非常好,未提及,非常好,未提及,未提及,未提及,未提及
deepseek-r1_8b,134,非常負面,未提及,差,差,差,好,好,差,未提及
deepseek-r1_8b,135,正面,未提及,好,好,一般,非常好,好,好,未提及
deepseek-r1_8b,136,正面,未提及,好,好,一般,非常好,好,一般,未提及
deepseek-r1_8b,137,非常負面,未提及,差,差,非常差,未提及,差,非常差,未提及
deepseek-r1_8b,138,非常負面,未提及,差,非常差,非常差,一般,未提及,非常差,未提及
deepseek-r1_8b,139,中立,未提及,差,好,差,好,一般,一般,未提及
deepseek-r1_8b,140,非常正面,未提及,好,好,好,未提及,好,好,未提及
deepseek-r1_8b,141,非常正面,未提及,非常好,好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_8b,142,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,未提及
deepseek-r1_8b,143,中立,未提及,一般,未提及,一般,好,未提及,一般,好
deepseek-r1_8b,144,非常負面,未提及,非常差,未提及,非常差,未提及,未提及,非常差,未提及
deepseek-r1_8b,145,非常正面,未提及,好,非常好,非常好,未提及,未提及,好,未提及
deepseek-r1_8b,146,正面,未提及,好,好,好,未提及,未提及,未提及,未提及
deepseek-r1_8b,147,非常正面,未提及,好,好,好,好,未提及,好,未提及
deepseek-r1_8b,148,非常負面,未提及,差,非常差,非常差,未提及,差,差,未提及
deepseek-r1_8b,149,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,未提及
deepseek-r1_8b,150,非常負面,未提及,差,差,差,未提及,差,未提及,未提及
deepseek-r1_8b,151,中立,未提及,好,好,非常好,好,未提及,好,未提及
deepseek-r1_8b,152,非常正面,未提及,非常好,好,非常好,非常好,非常好,非常好,未提及
deepseek-r1_8b,153,非常負面,未提及,非常差,差,差,一般,未提及,非常差,未提及
deepseek-r1_8b,154,非常負面,未提及,非常差,未提及,非常差,未提及,非常差,未提及,未提及
deepseek-r1_8b,155,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,未提及,未提及
deepseek-r1_8b,156,正面,未提及,好,好,一般,好,好,未提及,未提及
deepseek-r1_8b,157,正面,未提及,非常好,非常好,非常好,非常好,未提及,未提及,未提及
deepseek-r1_8b,158,非常負面,未提及,差,差,非常差,差,未提及,非常差,未提及
deepseek-r1_8b,159,中立,未提及,一般,好,差,好,好,差,未提及
deepseek-r1_8b,160,非常負面,未提及,差,差,非常差,一般,非常差,未提及,未提及
deepseek-r1_8b,161,非常負面,未提及,差,差,差,一般,差,非常差,未提及
deepseek-r1_8b,162,非常負面,有反諷,差,差,非常差,未提及,非常差,未提及,未提及
deepseek-r1_8b,163,中立,未提及,好,好,好,好,好,差,好
deepseek-r1_8b,164,非常負面,未提及,差,差,差,未提及,未提及,非常差,未提及
deepseek-r1_8b,165,非常負面,未提及,差,未提及,差,未提及,未提及,非常差,未提及
deepseek-r1_8b,166,中立,未提及,差,差,差,好,差,非常差,未提及
deepseek-r1_8b,167,正面,未提及,好,好,一般,非常好,好,好,好
deepseek-r1_8b,168,正面,未提及,好,好,一般,差,好,非常好,未提及
deepseek-r1_8b,169,非常正面,未提及,非常好,非常好,非常好,未提及,非常好,非常好,未提及
deepseek-r1_8b,170,非常負面,未提及,非常差,差,非常差,未提及,差,非常差,未提及
deepseek-r1_8b,171,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,未提及,未提及
deepseek-r1_8b,172,中立,未提及,好,一般,一般,未提及,差,未提及,未提及
deepseek-r1_8b,173,中立,未提及,一般,好,差,未提及,未提及,好,一般
deepseek-r1_8b,174,正面,未提及,好,好,好,好,未提及,未提及,一般
deepseek-r1_8b,175,非常負面,未提及,差,差,差,好,差,差,未提及
deepseek-r1_8b,176,正面,未提及,非常好,好,一般,好,非常好,未提及,未提及
deepseek-r1_8b,177,中立,未提及,好,好,一般,未提及,好,好,未提及
deepseek-r1_8b,178,負面,未提及,差,差,差,好,未提及,差,一般
deepseek-r1_8b,179,非常正面,未提及,非常好,未提及,非常好,未提及,非常好,未提及,未提及
deepseek-r1_8b,180,非常負面,未提及,差,未提及,差,未提及,差,未提及,未提及
deepseek-r1_8b,181,中立,未提及,好,好,一般,好,一般,好,未提及
deepseek-r1_8b,182,中立,未提及,好,好,一般,好,好,好,未提及
deepseek-r1_8b,183,非常正面,未提及,非常好,好,好,非常好,非常好,非常好,好
deepseek-r1_8b,184,非常正面,未提及,好,非常好,好,未提及,未提及,未提及,未提及
deepseek-r1_8b,185,中立,未提及,一般,差,差,非常好,未提及,差,未提及
deepseek-r1_8b,187,非常負面,未提及,差,差,一般,好,差,一般,未提及
deepseek-r1_8b,188,正面,未提及,好,好,好,非常好,好,未提及,非常好
deepseek-r1_8b,189,非常負面,未提及,非常差,非常差,差,未提及,差,未提及,未提及
deepseek-r1_8b,190,非常正面,未提及,一般,好,差,好,好,好,未提及
deepseek-r1_8b,191,正面,未提及,好,好,好,好,未提及,好,未提及
deepseek-r1_8b,192,非常負面,未提及,差,非常差,非常差,差,好,差,非常差
deepseek-r1_8b,193,中立,未提及,差,未提及,差,差,未提及,差,未提及
deepseek-r1_8b,194,非常正面,未提及,好,好,差,一般,非常好,差,未提及
deepseek-r1_8b,195,非常負面,未提及,非常差,差,非常差,未提及,差,未提及,未提及
deepseek-r1_8b,196,中立,未提及,差,一般,差,一般,差,差,一般
deepseek-r1_8b,197,正面,未提及,好,好,好,好,好,好,未提及
deepseek-r1_8b,198,非常負面,未提及,差,非常差,差,一般,非常差,未提及,未提及
deepseek-r1_8b,199,非常負面,未提及,差,非常差,差,未提及,非常差,未提及,未提及
deepseek-r1_8b,200,非常正面,未提及,好,好,好,未提及,好,好,未提及
deepseek-r1_8b,201,中立,未提及,好,未提及,一般,未提及,未提及,好,未提及
deepseek-r1_8b,202,正面,未提及,好,好,一般,好,好,一般,未提及
deepseek-r1_8b,203,正面,未提及,好,好,好,好,好,好,未提及
deepseek-r1_8b,204,正面,未提及,一般,好,好,一般,未提及,好,未提及
deepseek-r1_8b,205,非常正面,未提及,非常好,非常好,一般,好,非常好,非常好,未提及
deepseek-r1_8b,206,非常負面,有反諷,差,差,差,差,非常差,未提及,未提及
deepseek-r1_8b,207,正面,未提及,好,好,一般,好,好,好,未提及
deepseek-r1_8b,208,非常負面,未提及,差,非常差,非常差,好,差,非常差,未提及
deepseek-r1_8b,209,非常負面,未提及,差,差,差,差,未提及,差,未提及
deepseek-r1_8b,210,非常負面,有反諷,差,差,一般,未提及,差,未提及,未提及
deepseek-r1_8b,211,正面,未提及,好,好,一般,差,好,一般,未提及
deepseek-r1_8b,212,非常負面,未提及,差,差,差,一般,未提及,差,未提及
deepseek-r1_8b,213,非常負面,未提及,差,差,差,一般,差,差,未提及
deepseek-r1_8b,214,非常負面,未提及,差,差,差,一般,未提及,非常差,未提及
deepseek-r1_8b,215,非常負面,有反諷,差,差,差,未提及,非常差,差,差
deepseek-r1_8b,216,正面,未提及,好,好,一般,好,非常好,非常好,好
deepseek-r1_8b,217,非常正面,未提及,非常好,非常好,非常好,未提及,非常好,非常好,非常好
deepseek-r1_8b,218,中立,未提及,一般,好,一般,非常好,好,一般,未提及
deepseek-r1_8b,219,非常負面,有反諷,差,非常差,一般,一般,好,未提及,未提及
deepseek-r1_8b,220,非常負面,未提及,差,非常差,非常差,未提及,非常差,未提及,未提及
deepseek-r1_8b,221,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_8b,223,非常負面,未提及,差,非常差,差,未提及,差,非常差,未提及
deepseek-r1_8b,224,中立,未提及,一般,一般,一般,好,好,一般,好
deepseek-r1_8b,225,中立,未提及,差,好,差,好,一般,好,未提及
deepseek-r1_8b,226,正面,未提及,好,未提及,一般,未提及,未提及,未提及,未提及
deepseek-r1_8b,227,正面,未提及,好,好,好,好,好,好,好
deepseek-r1_8b,228,正面,未提及,好,未提及,好,未提及,好,好,未提及
deepseek-r1_8b,229,正面,未提及,非常好,好,非常好,非常好,非常好,非常好,未提及
deepseek-r1_8b,230,正面,未提及,好,一般,好,好,好,一般,未提及
deepseek-r1_8b,232,非常負面,未提及,差,非常差,差,未提及,非常差,未提及,未提及
deepseek-r1_8b,233,非常正面,未提及,好,非常好,好,未提及,未提及,未提及,未提及
deepseek-r1_8b,234,正面,未提及,好,好,好,好,一般,好,未提及
deepseek-r1_8b,235,非常正面,未提及,好,非常好,好,未提及,好,未提及,非常好
deepseek-r1_8b,236,非常負面,未提及,差,非常差,一般,未提及,非常差,未提及,未提及
deepseek-r1_8b,237,正面,未提及,好,好,好,好,好,好,未提及
deepseek-r1_8b,238,非常負面,有反諷,差,非常差,非常差,一般,非常差,差,一般
deepseek-r1_8b,239,非常正面,未提及,好,好,好,好,非常好,好,非常好
deepseek-r1_8b,240,正面,未提及,好,好,好,好,好,好,未提及
deepseek-r1_8b,241,非常正面,未提及,好,好,好,未提及,未提及,好,好
deepseek-r1_8b,242,中立,未提及,差,未提及,差,未提及,未提及,差,未提及
deepseek-r1_8b,243,非常正面,未提及,非常好,非常好,非常好,未提及,非常好,未提及,非常好
deepseek-r1_8b,244,中立,未提及,差,未提及,差,好,未提及,未提及,未提及
deepseek-r1_8b,245,非常正面,未提及,非常好,好,非常好,非常好,非常好,非常好,未提及
deepseek-r1_8b,246,非常負面,未提及,差,差,非常差,好,差,非常差,未提及
deepseek-r1_8b,247,正面,未提及,好,好,好,好,好,未提及,未提及
deepseek-r1_8b,248,非常負面,未提及,差,非常差,差,一般,差,非常差,未提及
deepseek-r1_8b,249,中立,未提及,好,一般,好,未提及,差,未提及,未提及
deepseek-r1_8b,250,非常正面,未提及,好,好,非常好,好,好,好,未提及
deepseek-r1_8b,251,中立,未提及,一般,好,一般,好,未提及,一般,未提及
deepseek-r1_8b,252,非常負面,未提及,差,未提及,差,未提及,未提及,未提及,未提及
deepseek-r1_8b,254,非常正面,未提及,一般,好,一般,未提及,非常好,未提及,未提及
deepseek-r1_8b,255,負面,未提及,差,差,差,一般,一般,差,好
deepseek-r1_8b,256,中立,未提及,差,未提及,好,未提及,未提及,未提及,未提及
deepseek-r1_8b,257,非常負面,未提及,差,差,差,一般,差,差,未提及
deepseek-r1_8b,258,中立,未提及,好,一般,好,好,未提及,好,未提及
deepseek-r1_8b,259,中立,未提及,差,差,差,未提及,好,未提及,未提及
deepseek-r1_8b,260,正面,未提及,好,好,好,未提及,好,好,未提及
deepseek-r1_8b,261,中立,未提及,一般,好,一般,好,未提及,未提及,未提及
deepseek-r1_8b,262,正面,未提及,好,好,好,好,好,好,好
deepseek-r1_8b,263,非常負面,有反諷,差,差,差,未提及,非常差,非常差,未提及
deepseek-r1_8b,264,正面,未提及,好,好,好,好,好,好,未提及
deepseek-r1_8b,265,正面,未提及,好,好,好,一般,未提及,好,未提及
deepseek-r1_8b,266,正面,未提及,一般,一般,好,好,好,一般,一般
deepseek-r1_8b,267,非常正面,未提及,非常好,好,非常好,好,非常好,未提及,未提及
deepseek-r1_8b,268,非常負面,未提及,差,差,非常差,差,未提及,未提及,未提及
deepseek-r1_8b,269,正面,未提及,好,好,好,好,好,未提及,未提及
deepseek-r1_8b,270,非常負面,未提及,差,差,差,一般,非常差,差,未提及
deepseek-r1_8b,271,正面,未提及,好,好,一般,非常好,非常好,非常好,一般
deepseek-r1_8b,272,非常負面,未提及,差,非常差,差,未提及,非常差,差,非常差
deepseek-r1_8b,273,非常負面,有反諷,差,差,差,一般,差,一般,未提及
deepseek-r1_8b,274,中立,未提及,一般,一般,一般,好,好,差,一般
deepseek-r1_8b,275,正面,未提及,非常好,好,好,未提及,好,未提及,好
deepseek-r1_8b,276,中立,未提及,一般,一般,差,好,好,一般,一般
deepseek-r1_8b,277,非常正面,未提及,非常好,好,非常好,非常好,未提及,非常好,未提及
deepseek-r1_8b,278,正面,未提及,好,好,一般,好,好,一般,好
deepseek-r1_8b,279,非常負面,未提及,一般,差,好,好,好,未提及,差
deepseek-r1_8b,280,中立,未提及,一般,未提及,一般,好,未提及,一般,未提及
deepseek-r1_8b,281,中立,未提及,好,未提及,非常好,一般,未提及,好,未提及
deepseek-r1_8b,282,非常正面,未提及,好,好,好,好,好,好,好
deepseek-r1_8b,283,非常正面,未提及,好,好,非常好,非常好,未提及,好,未提及
deepseek-r1_8b,284,中立,未提及,差,差,差,未提及,一般,未提及,未提及
deepseek-r1_8b,285,中立,未提及,一般,好,差,好,好,一般,一般
deepseek-r1_8b,286,中立,未提及,好,好,一般,好,好,好,未提及
deepseek-r1_8b,287,中立,未提及,差,好,一般,非常好,未提及,一般,未提及
deepseek-r1_8b,288,正面,未提及,好,好,非常好,好,未提及,未提及,好
deepseek-r1_8b,289,非常正面,未提及,非常好,非常好,好,未提及,未提及,未提及,非常好
deepseek-r1_8b,290,正面,未提及,一般,好,一般,一般,一般,好,未提及
deepseek-r1_8b,291,正面,未提及,好,好,未提及,好,未提及,未提及,未提及
deepseek-r1_8b,292,正面,未提及,非常好,好,非常好,未提及,非常好,非常好,未提及
deepseek-r1_8b,293,中立,未提及,一般,好,一般,一般,好,好,未提及
deepseek-r1_8b,294,非常正面,未提及,好,好,未提及,未提及,好,未提及,未提及
deepseek-r1_8b,295,非常正面,未提及,非常好,好,非常好,未提及,好,非常好,非常好
deepseek-r1_8b,296,正面,未提及,好,好,非常好,一般,未提及,好,未提及
deepseek-r1_8b,297,正面,未提及,一般,一般,一般,好,好,一般,未提及
deepseek-r1_8b,298,非常負面,有反諷,差,差,差,一般,非常差,差,未提及
deepseek-r1_8b,299,正面,未提及,一般,好,一般,非常好,一般,好,一般
deepseek-r1_8b,300,非常負面,未提及,差,差,非常差,未提及,差,非常差,未提及
deepseek-r1_8b,301,非常負面,有反諷,差,差,差,未提及,非常差,非常好,未提及
